id,dupe,S or P?,6 Cluster,8 Cluster,Prop,authors,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,Key,Properties
114,FALSE,P,h,e,Hydrophilicity value ,"Hopp-Woods, 1981",-0.5,3,0.2,3,-1,3,0.2,0,-0.5,-1.8,-1.8,3,-1.3,-2.5,0,0.3,-0.4,-3.4,-2.3,-1.5,HOPT810101,"Hydrophilicity value (Hopp-Woods, 1981)"
130,FALSE,P,h,e,Transfer free energy ,"Janin, 1979",0.3,-1.4,-0.5,-0.6,0.9,-0.7,-0.7,0.3,-0.1,0.7,0.5,-1.8,0.4,0.5,-0.3,-0.1,-0.2,0.3,-0.4,0.6,JANJ790102,"Transfer free energy (Janin, 1979)"
145,FALSE,P,p,e,Net charge ,"Klein et al., 1984",0,1,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,KLEP840101,"Net charge (Klein et al., 1984)"
151,FALSE,P,h,e,"Transfer free energy, CHP/water ","Lawson et al., 1984",-0.48,-0.06,-0.87,-0.75,-0.32,-0.71,-0.32,0,-0.51,0.81,1.02,-0.09,0.81,1.03,2.03,0.05,-0.35,0.66,1.24,0.56,LAWE840101,"Transfer free energy, CHP/water (Lawson et al., 1984)"
184,FALSE,P,h,e,Effective partition energy ,"Miyazawa-Jernigan, 1985",2.36,1.92,1.7,1.67,3.36,1.74,1.75,2.06,2.41,4.17,3.93,1.23,4.22,4.37,1.89,1.81,2.04,3.82,2.91,3.49,MIYS850101,"Effective partition energy (Miyazawa-Jernigan, 1985)"
209,FALSE,P,h,e,8 A contact number ,"Nishikawa-Ooi, 1980",0.23,-0.26,-0.94,-1.13,1.78,-0.75,-0.57,-0.07,0.11,1.19,1.03,-1.05,0.66,0.48,-0.76,-0.67,-0.36,0.9,0.59,1.24,NISK800101,"8 A contact number (Nishikawa-Ooi, 1980)"
210,FALSE,P,h,e,14 A contact number ,"Nishikawa-Ooi, 1986",-0.22,-0.93,-2.65,-4.12,4.66,-3.64,-2.76,-1.62,1.28,5.58,5.01,-4.18,3.51,5.27,-3.03,-2.84,-1.2,5.2,2.15,4.45,NISK860101,"14 A contact number (Nishikawa-Ooi, 1986)"
211,FALSE,P,h,e,"Transfer energy, organic solvent/water ","Nozaki-Tanford, 1971",0.5,0,0,0,0,0,0,0,0.5,1.8,1.8,0,1.3,2.5,0,0,0.4,3.4,2.3,1.5,NOZY710101,"Transfer energy, organic solvent/water (Nozaki-Tanford, 1971)"
212,FALSE,P,h,e,Average non-bonded energy per atom ,"Oobatake-Ooi, 1977",-1.895,-1.475,-1.56,-1.518,-2.035,-1.535,-1.521,-1.898,-1.755,-1.951,-1.966,-1.374,-1.963,-1.864,-1.699,-1.753,-1.767,-1.869,-1.686,-1.981,OOBM770101,"Average non-bonded energy per atom (Oobatake-Ooi, 1977)"
213,FALSE,P,p,e,Short and medium range non-bonded energy per atom ,"Oobatake-Ooi, 1977",-1.404,-0.921,-1.178,-1.162,-1.365,-1.163,-1.116,-1.364,-1.215,-1.189,-1.315,-1.074,-1.303,-1.135,-1.236,-1.297,-1.252,-1.03,-1.03,-1.254,OOBM770102,"Short and medium range non-bonded energy per atom (Oobatake-Ooi, 1977)"
214,FALSE,P,h,e,Long range non-bonded energy per atom ,"Oobatake-Ooi, 1977",-0.491,-0.554,-0.382,-0.356,-0.67,-0.371,-0.405,-0.534,-0.54,-0.762,-0.65,-0.3,-0.659,-0.729,-0.463,-0.455,-0.515,-0.839,-0.656,-0.728,OOBM770103,"Long range non-bonded energy per atom (Oobatake-Ooi, 1977)"
215,FALSE,P,p,e,Average non-bonded energy per residue ,"Oobatake-Ooi, 1977",-9.475,-16.225,-12.48,-12.144,-12.21,-13.815,-13.689,-7.592,-17.55,-15.608,-15.728,-12.366,-15.704,-20.504,-11.893,-10.518,-12.369,-26.166,-20.232,-13.867,OOBM770104,"Average non-bonded energy per residue (Oobatake-Ooi, 1977)"
216,FALSE,P,p,e,Short and medium range non-bonded energy per residue ,"Oobatake-Ooi,1977",-7.02,-10.131,-9.424,-9.296,-8.19,-10.467,-10.044,-5.456,-12.15,-9.512,-10.52,-9.666,-10.424,-12.485,-8.652,-7.782,-8.764,-14.42,-12.36,-8.778,OOBM770105,"Short and medium range non-bonded energy per residue (Oobatake-Ooi,1977)"
219,FALSE,P,h,e,Optimized transfer energy parameter ,"Oobatake et al., 1985",0.46,-1.54,1.31,-0.33,0.2,0.48,-1.12,0.64,-1.31,3.28,0.43,-1.71,0.15,0.52,-0.58,-0.83,-1.52,1.25,-2.21,0.54,OOBM850103,"Optimized transfer energy parameter (Oobatake et al., 1985)"
220,FALSE,P,b,e,Optimized average non-bonded energy per atom ,"Oobatake et al., 1985",-2.49,2.55,2.27,8.86,-3.13,4.04,1.79,-0.56,4.22,-10.87,-7.16,-9.97,-4.96,-6.64,5.19,-1.6,-4.75,-17.84,9.25,-3.97,OOBM850104,"Optimized average non-bonded energy per atom (Oobatake et al., 1985)"
239,TRUE,P,h,e,Partition coefficient ,"Pliska et al., 1981",-2.89,-3.3,-3.41,-3.38,-2.49,-2.94,-3.15,-3.25,-2.84,-1.72,-1.61,-3.31,-1.84,-1.63,-2.5,-3.3,-2.91,-1.75,-2.42,-2.08,PLIV810101,"Partition coefficient (Pliska et al., 1981)"
319,FALSE,P,h,e,Energy transfer from out to in ,95%buried,-0.29,-2.71,-1.18,-1.02,0,-0.9,-1.53,-0.34,-0.94,0.24,-0.12,-2.05,-0.24,0,0,-0.75,-0.71,-0.59,-1.02,0.09,RADA880107,"Energy transfer from out to in(95%buried) (Radzicka-Wolfenden, 1988)"
320,FALSE,P,h,e,Mean polarity ,"Radzicka-Wolfenden, 1988",-0.06,-0.84,-0.48,-0.8,1.36,-0.77,-0.73,-0.41,0.49,1.31,1.21,-1.18,1.27,1.27,0,-0.5,-0.27,0.88,0.33,1.09,RADA880108,"Mean polarity (Radzicka-Wolfenden, 1988)"
357,FALSE,P,h,e,"Transfer free energy , Cited by Charton-Charton ","Simon, 1976",0.73,0.73,-0.01,0.54,0.7,0.55,-0.1,0,1.1,2.97,2.49,1.5,1.3,2.65,2.6,0.04,0.44,3,2.97,1.69,SIMZ760101,"Transfer free energy (Simon, 1976), Cited by Charton-Charton (1982)"
378,FALSE,P,h,e,Electron-ion interaction potential ,"Veljkovic et al., 1985",0.03731,0.09593,0.00359,0.1263,0.08292,0.0058,0.07606,0.00499,0.02415,0,0,0.0371,0.08226,0.0946,0.01979,0.08292,0.09408,0.05481,0.05159,0.00569,VELV850101,"Electron-ion interaction potential (Veljkovic et al., 1985)"
382,FALSE,P,p,e,RF value in high salt chromatography ,"Weber-Lacey, 1978",0.89,0.88,0.89,0.87,0.85,0.84,0.82,0.92,0.83,0.76,0.73,0.97,0.74,0.52,0.82,0.96,0.92,0.2,0.49,0.85,WEBA780101,"RF value in high salt chromatography (Weber-Lacey, 1978)"
387,FALSE,P,h,e,Polar requirement ,"Woese, 1973",7,9.1,10,13,5.5,12.5,8.6,7.9,8.4,4.9,4.9,10.1,5.3,5,6.6,7.5,6.6,5.3,5.7,5.6,WOEC730101,"Polar requirement (Woese, 1973)"
396,FALSE,P,h,e,Dependence of partition coefficient on ionic strength ,"Zaslavsky etal.,  1982",-0.152,-0.089,-0.203,-0.355,0,-0.411,-0.181,-0.19,0,-0.086,-0.102,-0.062,-0.107,0.001,-0.181,-0.203,-0.17,0.275,0,-0.125,ZASB820101,"Dependence of partition coefficient on ionic strength (Zaslavsky etal.,  1982)"
400,FALSE,P,p,e,Isoelectric point ,"Zimmerman et al., 1968",6,10.76,5.41,2.77,5.05,3.22,5.65,5.97,7.59,6.02,5.98,9.74,5.74,5.48,6.3,5.68,5.66,5.89,5.66,5.96,ZIMJ680104,"Isoelectric point (Zimmerman et al., 1968)"
401,FALSE,P,h,e,RF rank ,"Zimmerman et al., 1968",9.9,4.6,5.4,2.8,2.8,3.2,9,5.6,8.2,17.1,17.6,3.5,14.9,18.8,14.8,6.9,9.5,17.1,15,14.3,ZIMJ680105,"RF rank (Zimmerman et al., 1968)"
482,FALSE,P,h,e,Amphiphilicity index ,"Mitaku et al., 2002",0,2.45,0,0,0,1.27,1.25,0,1.45,0,0,3.67,0,0,0,0,0,6.93,5.06,0,MITS020101,"Amphiphilicity index (Mitaku et al., 2002)"
485,FALSE,P,h,e,Electron-ion interaction potential values ,"Cosic, 1994",0.0373,0.0959,0.0036,0.1263,0.0829,0.0058,0.0761,0.005,0.0242,0,0,0.0371,0.0823,0.0946,0.0198,0.0829,0.0941,0.0548,0.0516,0.0057,COSI940101,"Electron-ion interaction potential values (Cosic, 1994)"
519,FALSE,P,h,e,Apparent partition energies calculated from Wertz-Scheraga index ,"Guy,1985",0.05,0.12,0.29,0.41,-0.84,0.38,0.46,0.31,-0.41,-0.69,-0.62,0.57,-0.38,-0.45,0.46,0.12,0.38,-0.98,-0.25,-0.46,GUYH850102,"Apparent partition energies calculated from Wertz-Scheraga index (Guy,1985)"
521,FALSE,P,h,e,Apparent partition energies calculated from Janin index ,"Guy, 1985",-0.31,1.3,0.49,0.58,-0.87,0.68,0.7,-0.33,0.13,-0.66,-0.53,1.79,-0.38,-0.45,0.34,0.1,0.21,-0.27,0.4,-0.62,GUYH850104,"Apparent partition energies calculated from Janin index (Guy, 1985)"
522,FALSE,P,h,e,Apparent partition energies calculated from Chothia index ,"Guy, 1985",-0.27,2,0.61,0.5,-0.23,0.33,1,-0.22,0.37,-0.8,-0.44,1.17,-0.31,-0.55,0.36,0.17,0.18,0.05,0.48,-0.65,GUYH850105,"Apparent partition energies calculated from Chothia index (Guy, 1985)"
538,FALSE,P,h,e,Optimized relative partition energies - method A ,"Miyazawa-Jernigan,1999",0,0.07,0.1,0.12,-0.16,0.12,0.09,0.06,0,-0.31,-0.37,0.17,-0.22,-0.36,0.08,0.09,0.04,-0.21,-0.14,-0.22,MIYS990102,"Optimized relative partition energies - method A (Miyazawa-Jernigan,1999)"
539,FALSE,P,h,e,Optimized relative partition energies - method B ,"Miyazawa-Jernigan,1999",-0.03,0.09,0.13,0.17,-0.36,0.23,0.13,0.09,-0.04,-0.33,-0.38,0.32,-0.3,-0.34,0.2,0.1,0.01,-0.24,-0.23,-0.29,MIYS990103,"Optimized relative partition energies - method B (Miyazawa-Jernigan,1999)"
540,FALSE,P,h,e,Optimized relative partition energies - method C ,"Miyazawa-Jernigan,1999",-0.04,0.07,0.13,0.19,-0.38,0.23,0.14,0.09,-0.04,-0.34,-0.37,0.33,-0.3,-0.38,0.19,0.12,0.03,-0.33,-0.29,-0.29,MIYS990104,"Optimized relative partition energies - method C (Miyazawa-Jernigan,1999)"
541,FALSE,P,h,e,Optimized relative partition energies - method D ,"Miyazawa-Jernigan,1999",-0.02,0.08,0.1,0.19,-0.32,0.21,0.15,-0.02,-0.02,-0.28,-0.32,0.3,-0.25,-0.33,0.11,0.11,0.05,-0.27,-0.23,-0.23,MIYS990105,"Optimized relative partition energies - method D (Miyazawa-Jernigan,1999)"
3,FALSE,P,h,h,Membrane-buried preference parameters ,"Argos et al., 1982",1.56,0.45,0.27,0.14,1.23,0.23,0.51,0.62,0.29,1.67,2.93,0.15,2.96,2.03,0.76,0.81,0.91,1.08,0.68,1.14,ARGP820103,"Membrane-buried preference parameters (Argos et al., 1982)"
22,FALSE,P,h,h,"Free energy of solution in water, kcal/mole ","Charton-Charton, 1982",-0.368,-1.03,0,2.06,4.53,1.77,0.731,-0.525,0,0.791,1.07,0,0.656,1.06,-2.24,-0.524,0,1.6,4.91,0.401,CHAM820102,"Free energy of solution in water, kcal/mole (Charton-Charton, 1982)"
53,FALSE,P,h,h,Normalized hydrophobicity scales for alpha-proteins ,"Cid et al., 1992",-0.45,-0.24,-0.2,-1.52,0.79,-0.8,-0.99,-1,1.07,0.76,1.29,-0.36,1.37,1.48,-0.12,-0.98,-0.7,1.38,1.49,1.26,CIDH920101,"Normalized hydrophobicity scales for alpha-proteins (Cid et al., 1992)"
54,FALSE,P,h,h,Normalized hydrophobicity scales for beta-proteins ,"Cid et al., 1992",-0.08,-0.09,-0.7,-0.71,0.76,-1.31,-0.4,-0.84,0.43,1.39,1.24,-0.09,1.27,1.53,-0.01,-0.93,-0.59,2.25,1.53,1.09,CIDH920102,"Normalized hydrophobicity scales for beta-proteins (Cid et al., 1992)"
55,FALSE,P,h,h,Normalized hydrophobicity scales for alpha+beta-proteins ,"Cid et al., 1992",0.36,-0.52,-0.9,-1.09,0.7,-0.83,-1.05,-0.82,0.16,2.17,1.18,-0.56,1.21,1.01,-0.06,-0.6,-1.2,1.31,1.05,1.21,CIDH920103,"Normalized hydrophobicity scales for alpha+beta-proteins (Cid et al., 1992)"
56,FALSE,P,h,h,Normalized hydrophobicity scales for alpha/beta-proteins ,"Cid et al., 1992",0.17,-0.7,-0.9,-1.05,1.24,-1.19,-1.2,-0.57,-0.25,2.06,0.96,-0.62,0.6,1.29,-0.21,-0.83,-0.62,1.51,0.66,1.21,CIDH920104,"Normalized hydrophobicity scales for alpha/beta-proteins (Cid et al., 1992)"
57,FALSE,P,h,h,Normalized average hydrophobicity scales ,"Cid et al., 1992",0.02,-0.42,-0.77,-1.04,0.77,-1.14,-1.1,-0.8,0.26,1.81,1.14,-0.41,1,1.35,-0.09,-0.97,-0.77,1.71,1.11,1.13,CIDH920105,"Normalized average hydrophobicity scales (Cid et al., 1992)"
65,FALSE,P,h,h,Membrane preference for cytochrome b: MPH89 ,"Degli Esposti et al., 1990",1.56,0.59,0.51,0.23,1.8,0.19,0.39,1.03,1,1.27,1.38,0.15,1.93,1.42,0.27,0.96,1.11,0.91,1.1,1.58,DESM900101,"Membrane preference for cytochrome b: MPH89 (Degli Esposti et al., 1990)"
67,FALSE,P,h,h,Consensus normalized hydrophobicity scale ,"Eisenberg, 1984",0.25,-1.76,-0.64,-0.72,0.04,-0.62,-0.69,0.16,-0.4,0.73,0.53,-1.1,0.26,0.61,-0.07,-0.26,-0.18,0.37,0.02,0.54,EISD840101,"Consensus normalized hydrophobicity scale (Eisenberg, 1984)"
76,FALSE,P,h,h,Hydrophobic parameter pi ,"Fauchere-Pliska, 1983",0.31,-1.01,-0.6,-0.77,1.54,-0.64,-0.22,0,0.13,1.8,1.7,-0.99,1.23,1.79,0.72,-0.04,0.26,2.25,0.96,1.22,FAUJ830101,"Hydrophobic parameter pi (Fauchere-Pliska, 1983)"
107,FALSE,P,h,h,Hydrophobicity factor ,"Goldsack-Chalifoux, 1973",0.75,0.75,0.69,0,1,0,0.59,0,0,2.95,2.4,1.5,1.3,2.65,2.6,0,0.45,3,2.85,1.7,GOLD730101,"Hydrophobicity factor (Goldsack-Chalifoux, 1973)"
131,TRUE,P,h,h,Hydrophobicity ,"Jones, 1975",0.87,0.85,0.09,0.66,1.52,0.67,0,0.1,0.87,3.15,2.17,1.64,1.67,2.87,2.77,0.07,0.07,3.77,2.67,1.87,JOND750101,"Hydrophobicity (Jones, 1975)"
147,TRUE,P,h,h,Side chain interaction parameter ,"Krigbaum-Komoriya, 1979",4.32,6.55,6.24,6.04,1.73,6.17,6.13,6.09,5.66,2.31,3.93,7.92,2.44,2.59,7.19,5.37,5.16,2.78,3.58,3.31,KRIW790101,"Side chain interaction parameter (Krigbaum-Komoriya, 1979)"
